Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Description,Body
3300000,Académie Scientifique de Beauté,Gommage corps,Gommage Corps Granité du Lagon,Default Title,16,Yes,https://www.academiebeaute.com/products/gommage-corps-granite-du-lagon,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/SPA_Destination_Terre_des_Vahines_Gommage_corps_granite_du-lagon_5114d3df-4a53-41d6-8660-37d3a1a48647.png?v=1666341357;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/AM_spa_destination_matiere_gommage_bleu.jpg?v=1667489534;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Gommage.jpg?v=1670507875;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/AM_spa_destination_matiere_gommage_granite-lagon.jpg?v=1670507875;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/AM_spa_destination_matiere_gommage_granite-lagon_femme.jpg?v=1670507874;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/AM_spa_destination_collection_terre_des_vahines2.jpg?v=1670507874,"Inspiré de la Polynésie, notre gommage au sel, à la Fleur de Tiaré et à la coque de noix de coco exfoliante fond sur la peau pour éliminer délicatement les cellules mortes tout en laissant un film protecteur.","<p>Inspiré de la Polynésie, notre gommage au sel, à la Fleur de Tiaré et à la coque de noix de coco exfoliante fond sur la peau pour éliminer délicatement les cellules mortes tout en laissant un film protecteur.</p>"
,,,,,,,,,,
3301000,Académie Scientifique de Beauté,,Crème Corps Rêve Polynésien,Default Title,17,Yes,https://www.academiebeaute.com/products/creme-corps-reve-polynesien,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/SPA_Destination_Terre_des_Vahines_creme_corps-reve-polynesien.png?v=1666077978;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/AM_spa_destination_creme-corps_terre_des_vahines_mains.jpg?v=1670507718;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/TerredesVahines.jpg?v=1670508175;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/AM_spa_destination_collection_terre_des_vahines.jpg?v=1670508169;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/AM_spa_destination_creme-corps_terre_des_vahines_bois.jpg?v=1670508169,"Inspirée de la Polynésie, cette crème hydratante pour le corps au parfum Fleur de Tiaré vous invite pour un voyage des sens à chaque application...","<p><span data-mce-fragment=""1"">Inspirée de la Polynésie, c</span>ette crème hydratante pour le corps au parfum Fleur de Tiaré vous invite pour un voyage des sens à chaque application...</p>"
,,,,,,,,,,
1600000,Académie Scientifique de Beauté,Gel nettoyant,Gel Nettoyant,Default Title,30,Yes,https://www.academiebeaute.com/products/gel-nettoyant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Gel_nettoyant_peaux_mixtes_a_grasses.png?v=1666187987;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/gel-nettoyant.jpg?v=1669126622;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/gel_nettoyant.jpg?v=1669126622;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/gel_nettoyant2.jpg?v=1669126622,Gel nettoyant matifiant à l'Huile Essentielle de Lavande.,<p>Gel nettoyant matifiant à l'Huile Essentielle de Lavande.</p>
,,,,,,,,,,
4520001,Académie Scientifique de Beauté,Matifiant Homme,Baume Actif Hydratant Matifiant,Default Title,46,Yes,https://www.academiebeaute.com/products/baume-actif-hydratant-matifiant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Men_baume_actif_hydratant_matifiant.png?v=1666091383;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/AM_men_rasage_baume_actif_gel_contour_yeux_bois.jpg?v=1667215474,2 en 1 - Hydratant &amp; Matifiant.,<p>2 en 1 - Hydratant &amp; Matifiant.</p>
,,,,,,,,,,
518000,Académie Scientifique de Beauté,,Contour des Yeux Anti-Cernes Teinté,Default Title,39,Yes,https://www.academiebeaute.com/products/contour-des-yeux-anti-cernes-teinte,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_contour_des_yeux_anti-cernes_teinte_ce515ccf-c071-4d7b-ae8f-be20ce2e0003.png?v=1666341102;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/contour_yeux_anti_cernes.jpg?v=1669031209;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/contour-teinte.jpg?v=1669126592,Traite et camoufle les cernes.,<p>Traite et camoufle les cernes.</p>
,,,,,,,,,,
